decade,lineup_slot,average,power,walks,speed
1970,1,3.211074229,1.941630476,2.665746172,3.991397296
1970,2,3.308640377,2.422430658,2.735408423,3.538573842
1970,3,3.92319323,3.675224981,3.233429385,2.961833379
1970,4,3.312504002,4.029817019,3.453685929,2.171869124
1970,5,3.041894433,3.731010581,3.21841708,2.171157023
1970,6,2.76602171,3.503244901,3.142966235,2.172663078
1970,7,2.458412541,2.912917353,2.901290866,2.25635186
1970,8,1.957010659,2.181482365,2.722674009,2.485437801
1970,9,1.681120472,1.558394742,2.579648506,2.56376895
1980,1,3.869782055,1.972754381,3.290970645,3.99563639
1980,2,3.519447246,2.442567478,3.156323308,3.255077832
1980,3,3.977654884,3.668566708,3.130811462,2.533415064
1980,4,3.293710949,4.114075237,3.256375228,2.083756159
1980,5,2.857711227,3.638382183,3.207185374,2.11412801
1980,6,2.661415168,3.463254126,3.102407411,2.112460663
1980,7,2.291542969,3.008170164,2.897262037,2.123019464
1980,8,2.052815295,2.331055204,2.604829208,2.275968826
1980,9,1.966216011,1.677998731,2.59918549,2.791934164
1990,1,3.61425593,2.229782049,3.415068623,4.129756554
1990,2,3.613575451,2.508069021,2.965357002,3.252314935
1990,3,4.156126698,3.858105492,3.347778337,2.483800944
1990,4,3.458707601,4.307764886,3.550713416,1.662842573
1990,5,3.200906504,3.720045744,3.442395195,1.524201102
1990,6,3.00615435,3.339296582,2.952129923,1.892643367
1990,7,2.709831766,2.939699694,2.678508516,2.234352932
1990,8,2.073863627,2.342947397,2.460245189,2.282212671
1990,9,1.871444673,1.534191643,2.125056477,3.0098068
2000,1,3.630547241,1.871262464,2.64879474,4.22362087
2000,2,3.295713928,1.962694534,2.414618371,3.383950002
2000,3,3.680499223,3.708979541,3.381628644,2.506245881
2000,4,3.686933484,4.182854138,3.624846461,1.718171002
2000,5,2.946562358,3.624211849,3.132882481,1.981639086
2000,6,2.646382621,3.259836334,2.876743205,2.130866087
2000,7,2.485251241,2.774223779,2.55643155,2.275126511
2000,8,2.163229701,2.413641225,2.268701938,2.305542888
2000,9,2.252769637,1.800469281,2.117115827,2.981419406
2010,1,3.490163756,2.268205625,2.911609713,3.908536852
2010,2,3.597489618,2.902331085,3.105701872,3.27902066
2010,3,3.845363151,3.56786673,3.244565762,2.4150154
2010,4,3.437749404,3.933143085,3.089698433,1.823455487
2010,5,2.978128027,3.318514552,2.756620827,2.144289484
2010,6,2.713810518,2.877639745,2.531353129,2.35389717
2010,7,2.416084938,2.620470205,2.433633654,2.540324374
2010,8,2.038303793,2.307291548,2.376904466,2.580646467
2010,9,1.920490933,1.822486546,2.123795453,3.151822374
2020,1,3.271898533,2.418293426,2.839573607,3.374500129
2020,2,3.555615837,3.334119194,2.8322589,2.81078937
2020,3,3.355942053,3.746551245,3.066730408,2.530113844
2020,4,2.89939694,3.414921026,2.760052016,2.076489615
2020,5,2.625673102,2.934717129,2.712193903,2.385192969
2020,6,2.501987609,2.468370361,2.402859225,2.56842684
2020,7,2.355455987,2.270554829,2.185193338,2.856323607
2020,8,2.127841288,1.704363004,2.13947333,3.063716067
2020,9,1.850697311,1.442552395,2.121432764,3.533317525
