slot,rank,name,era,win_shares,average,power,walks,speed,pct_at_slot
1,1,Rickey Henderson,1970-2009,440,3.1,2.3,4.8,4.5,98.8
1,2,Kenny Lofton,1970-2009,284,3.5,1.3,3.0,4.8,93.6
1,3,Brett Butler,1970-2009,258,3.8,0.9,4.0,4.4,88.7
1,4,Ichiro Suzuki,1970-2009,222,4.8,0.6,1.0,4.4,98.8
1,5,Tim Raines,1970-2009,271,3.9,2.2,4.1,4.8,66.0
1,6,Johnny Damon,1970-2009,242,3.0,1.9,2.9,4.5,77.7
1,7,Willie Wilson,1970-2009,185,3.9,0.9,0.5,4.9,92.6
1,8,Chuck Knoblauch,1970-2009,208,3.4,1.3,3.5,4.5,80.9
1,9,Paul Molitor,1970-2009,335,4.2,2.3,2.8,4.1,64.3
1,10,Rafael Furcal,1970-2009,159,2.8,1.1,2.5,4.5,92.7
1,11,Pete Rose,1970-2009,289,4.3,1.7,3.2,2.9,85.3
1,12,Brian Roberts,1970-2009,134,3.1,1.8,3.5,4.4,98.8
1,13,Davey Lopes,1970-2009,155,2.0,2.1,3.6,4.4,88.8
1,14,Craig Biggio,1970-2009,350,3.0,2.2,2.8,3.6,58.4
1,15,Eric Young Sr.,1970-2009,129,2.7,0.7,2.3,4.5,89.6
2,1,Ozzie Smith,1970-2009,335,2.3,0.4,3.2,3.9,66.6
2,2,Derek Jeter,1970-2009,327,4.4,1.6,2.7,3.9,61.0
2,3,Omar Vizquel,1970-2009,227,2.7,0.4,2.4,3.7,67.9
2,4,Placido Polanco,1970-2009,155,4.0,0.9,0.6,3.0,84.4
2,5,Larry Bowa,1970-2009,174,2.1,0.4,0.7,4.2,61.7
2,6,Jay Bell,1970-2009,225,2.1,2.4,3.0,2.9,76.5
2,7,Ryne Sandberg,1970-2009,295,3.5,3.6,2.2,3.9,64.5
2,8,Joe Morgan,1970-2009,349,3.0,3.5,4.9,4.4,50.3
2,9,Felix Millan,1970-2009,93,3.3,0.5,0.7,2.4,73.3
2,10,Ken Griffey,1970-2009,139,4.1,2.3,2.7,4.2,67.9
2,11,Kevin Seitzer,1970-2009,131,3.8,1.0,3.5,2.3,50.2
