batting_position,speed,walks,power,average
1st,0.42,0.15,0.00,0.06
2nd,0.20,0.24,0.00,0.19
3rd,0.02,0.09,0.09,0.17
4th,0.00,0.05,0.27,0.19
5th,0.01,0.08,0.25,0.14
6th,0.03,0.10,0.21,0.10
7th,0.05,0.11,0.12,0.09
8th,0.06,0.11,0.06,0.05
9th,0.20,0.07,0.01,0.02
