season,name,team,era,pa,win_shares,average,power,walks,speed,pct_appearances_1,pct_appearances_2,pct_appearances_3,pct_appearances_4,pct_appearances_5,pct_appearances_6,pct_appearances_7,pct_appearances_8,pct_appearances_9
2020,Ronald Acuña Jr.,ATL,2010-present,202,9,1.8,4.9,4.9,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Ronald Acuña Jr.,ATL,2010-present,533,14,3.1,1.4,3.4,3.6,99.1,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.2
2023,Ronald Acuña Jr.,ATL,2010-present,735,35,5.0,4.5,3.8,4.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Ronald Acuña Jr.,ATL,2010-present,208,4,2.0,0.7,4.3,4.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Pete Alonso,NYM,2010-present,693,24,1.6,4.9,3.4,0.7,0.0,46.2,35.8,16.6,0.7,0.0,0.0,0.3,0.4
2020,Pete Alonso,NYM,2010-present,239,3,1.1,4.0,3.2,1.1,0.4,7.9,27.2,15.9,7.5,40.6,0.0,0.0,0.4
2021,Pete Alonso,NYM,2010-present,637,19,1.9,4.3,2.5,1.8,0.0,20.6,23.2,56.0,0.0,0.0,0.2,0.0,0.0
2022,Pete Alonso,NYM,2010-present,685,22,3.5,4.7,3.2,1.3,0.0,3.4,3.5,93.1,0.0,0.0,0.0,0.0,0.0
2023,Pete Alonso,NYM,2010-present,658,17,0.2,4.9,3.0,2.0,0.0,0.0,16.9,83.1,0.0,0.0,0.0,0.0,0.0
2024,Pete Alonso,NYM,2010-present,214,4,1.8,4.5,2.5,1.7,0.0,20.6,26.6,52.3,0.0,0.0,0.5,0.0,0.0
2011,Robert Andino,BAL,2010-present,511,13,2.1,0.2,2.2,2.8,25.0,2.9,0.0,0.0,0.0,3.1,7.8,12.9,48.1
2017,Orlando Arcia,MIL,2010-present,548,14,2.7,0.5,1.0,2.6,0.2,0.7,0.2,0.0,0.0,3.1,9.1,78.5,8.2
2019,Orlando Arcia,MIL,2010-present,546,5,0.1,0.4,1.7,1.6,0.2,0.0,0.4,0.0,0.0,2.2,11.0,76.2,10.1
2020,Orlando Arcia,MIL,2010-present,189,4,2.3,1.3,1.3,3.3,0.0,0.5,0.0,1.1,2.1,13.2,25.9,21.7,35.4
2023,Orlando Arcia,ATL,2010-present,533,13,2.5,1.4,1.7,0.7,0.0,0.0,0.0,0.0,0.0,2.3,11.6,73.0,13.1
2024,Orlando Arcia,ATL,2010-present,180,5,2.3,2.9,0.0,0.6,0.0,7.2,0.0,0.0,4.4,30.6,28.3,26.7,2.8
1991,Jeff Bagwell,HOU,1970-2009,650,22,3.9,2.3,3.6,2.4,0.0,0.0,50.3,11.5,25.8,12.0,0.2,0.0,0.2
1992,Jeff Bagwell,HOU,1970-2009,697,25,2.7,3.6,4.0,2.9,0.0,0.0,52.8,46.2,0.6,0.0,0.1,0.0,0.3
1993,Jeff Bagwell,HOU,1970-2009,609,23,4.6,3.9,3.3,3.0,0.0,0.0,97.0,2.5,0.0,0.5,0.0,0.0,0.0
1994,Jeff Bagwell,HOU,1970-2009,479,30,5.0,5.0,4.5,3.7,0.0,0.0,45.5,54.5,0.0,0.0,0.0,0.0,0.0
1995,Jeff Bagwell,HOU,1970-2009,539,21,2.8,3.7,4.6,2.0,0.0,0.0,94.8,2.4,2.8,0.0,0.0,0.0,0.0
1996,Jeff Bagwell,HOU,1970-2009,719,34,4.4,4.4,4.9,2.8,0.0,0.0,96.4,3.6,0.0,0.0,0.0,0.0,0.0
1997,Jeff Bagwell,HOU,1970-2009,717,30,2.9,4.9,4.8,3.0,0.1,0.0,99.3,0.0,0.0,0.3,0.1,0.0,0.1
1998,Jeff Bagwell,HOU,1970-2009,661,28,3.8,4.4,4.8,2.8,0.0,0.0,31.8,67.9,0.0,0.3,0.0,0.0,0.0
1999,Jeff Bagwell,HOU,1970-2009,729,32,3.7,4.6,5.0,2.4,0.0,0.0,99.6,0.1,0.3,0.0,0.0,0.0,0.0
2000,Jeff Bagwell,HOU,1970-2009,719,25,3.9,4.6,4.3,2.7,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.1
2001,Jeff Bagwell,HOU,1970-2009,717,28,3.1,4.5,4.6,3.4,0.1,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.1
2002,Jeff Bagwell,HOU,1970-2009,691,22,3.5,3.9,4.4,1.7,0.0,0.0,28.9,71.1,0.0,0.0,0.0,0.0,0.0
2003,Jeff Bagwell,HOU,1970-2009,702,20,2.5,4.4,4.0,2.7,0.0,0.0,99.7,0.0,0.0,0.0,0.0,0.1,0.1
2004,Jeff Bagwell,HOU,1970-2009,679,21,1.2,2.9,4.5,2.1,0.0,2.5,71.1,3.5,10.6,11.9,0.1,0.1,0.0
2007,José Bautista,PIT,1970-2009,614,9,0.7,1.9,3.7,2.3,21.3,35.5,1.1,0.0,10.3,12.4,11.7,7.3,0.3
2010,José Bautista,TOR,2010-present,683,29,1.8,5.0,4.9,2.6,8.1,1.5,58.9,2.0,8.2,6.1,15.2,0.0,0.0
2011,José Bautista,TOR,2010-present,655,34,4.4,5.0,5.0,2.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,José Bautista,TOR,2010-present,528,19,1.6,4.7,4.7,2.3,0.0,51.3,48.7,0.0,0.0,0.0,0.0,0.0,0.0
2014,José Bautista,TOR,2010-present,673,27,4.0,4.8,5.0,1.5,0.0,13.1,80.5,6.4,0.0,0.0,0.0,0.0,0.0
2015,José Bautista,TOR,2010-present,666,23,1.0,4.9,4.9,2.9,0.0,5.3,93.8,0.6,0.0,0.0,0.0,0.2,0.2
2016,José Bautista,TOR,2010-present,517,11,0.3,3.5,5.0,0.9,35.8,10.4,34.4,19.3,0.0,0.0,0.0,0.0,0.0
2017,José Bautista,TOR,2010-present,686,6,0.0,1.7,4.3,1.9,34.0,11.7,35.1,19.1,0.0,0.1,0.0,0.0,0.0
2011,Gordon Beckham,CHW,2010-present,557,11,0.3,0.5,1.3,1.8,0.0,14.0,0.0,0.0,0.0,0.0,5.6,37.0,43.4
2012,Gordon Beckham,CHW,2010-present,582,10,0.5,1.3,1.5,1.2,2.1,36.6,0.0,0.0,0.0,0.0,0.0,2.1,59.3
1970,Mark Belanger,BAL,1970-2009,527,12,0.1,0.0,2.6,4.2,11.0,45.5,0.0,0.0,0.0,0.0,0.4,42.7,0.4
1971,Mark Belanger,BAL,1970-2009,590,21,2.5,0.3,4.0,3.1,7.1,20.8,0.0,0.2,0.0,0.0,14.6,57.1,0.2
1973,Mark Belanger,BAL,1970-2009,544,16,0.2,0.1,2.5,3.5,1.7,0.2,0.2,0.0,0.0,0.0,0.0,3.1,94.9
1974,Mark Belanger,BAL,1970-2009,570,20,0.2,0.8,2.9,3.7,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4
1975,Mark Belanger,BAL,1970-2009,502,19,0.2,0.0,1.7,3.3,3.4,7.2,0.0,0.0,0.0,0.0,0.4,0.2,88.8
1976,Mark Belanger,BAL,1970-2009,589,27,2.9,0.6,2.8,3.0,11.7,27.8,0.5,0.0,0.0,0.0,27.5,16.3,16.1
1992,Albert Belle,CLE,1970-2009,651,14,1.6,4.6,1.8,2.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1993,Albert Belle,CLE,1970-2009,693,23,3.5,4.8,3.4,2.9,0.0,0.4,0.0,99.6,0.0,0.0,0.0,0.0,0.0
1994,Albert Belle,CLE,1970-2009,480,21,4.9,4.9,3.7,2.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1995,Albert Belle,CLE,1970-2009,631,31,4.5,5.0,3.3,1.8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1996,Albert Belle,CLE,1970-2009,715,25,3.7,4.6,4.5,3.1,0.0,0.0,2.7,97.3,0.0,0.0,0.0,0.0,0.0
1997,Albert Belle,CHW,1970-2009,701,16,2.1,3.7,1.6,0.8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1998,Albert Belle,CHW,1970-2009,706,32,4.7,4.9,3.7,1.2,0.0,0.0,2.0,97.5,0.6,0.0,0.0,0.0,0.0
1999,Albert Belle,BAL,1970-2009,722,17,3.1,4.1,4.3,2.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2000,Albert Belle,BAL,1970-2009,622,10,2.2,2.9,1.8,0.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1990,Jay Bell,PIT,1970-2009,696,17,0.9,1.5,2.7,3.8,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.4,0.1
1991,Jay Bell,PIT,1970-2009,697,23,2.4,2.7,1.7,3.8,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
1992,Jay Bell,PIT,1970-2009,712,24,1.9,2.0,1.9,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,Jay Bell,PIT,1970-2009,701,29,4.2,1.7,3.8,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Jay Bell,PIT,1970-2009,487,19,2.1,2.6,3.0,2.7,0.0,95.9,0.0,0.0,1.4,2.7,0.0,0.0,0.0
1995,Jay Bell,PIT,1970-2009,593,12,1.2,1.8,2.6,1.7,0.0,77.2,1.5,0.0,2.2,17.7,0.7,0.0,0.7
1996,Jay Bell,PIT,1970-2009,598,15,0.7,1.8,2.4,2.2,0.7,0.8,0.0,0.8,26.9,20.9,49.7,0.0,0.2
1997,Jay Bell,KCR,1970-2009,660,21,3.2,2.4,3.1,2.2,0.0,18.3,72.6,0.8,4.2,3.0,0.0,0.0,1.1
1998,Jay Bell,ARI,1970-2009,645,20,0.5,2.7,4.1,1.6,0.3,33.5,20.2,0.0,10.2,35.3,0.0,0.2,0.3
1999,Jay Bell,ARI,1970-2009,688,24,2.5,4.4,3.6,3.4,0.0,97.8,0.0,0.6,1.0,0.0,0.0,0.1,0.4
2000,Jay Bell,ARI,1970-2009,649,13,1.4,2.2,2.9,3.3,0.0,93.5,0.0,0.0,0.0,2.0,3.7,0.5,0.3
2001,Jay Bell,ARI,1970-2009,509,8,0.4,1.7,4.0,0.3,0.0,71.3,0.0,9.4,1.4,6.5,7.9,1.0,2.6
2017,Josh Bell,PIT,2010-present,620,11,1.3,3.2,3.1,2.0,0.0,7.4,6.5,49.2,22.6,4.7,6.0,1.6,2.1
2018,Josh Bell,PIT,2010-present,583,12,2.4,1.5,4.3,1.8,2.2,5.8,12.3,48.2,3.9,23.7,2.1,0.0,1.7
2019,Josh Bell,PIT,2010-present,613,18,2.5,4.7,4.1,0.9,0.0,0.0,0.0,99.2,0.0,0.0,0.0,0.3,0.5
2020,Josh Bell,PIT,2010-present,223,2,0.8,0.9,3.0,0.1,0.0,0.0,39.0,38.6,9.9,11.7,0.0,0.4,0.4
2021,Josh Bell,WSN,2010-present,568,14,1.9,3.0,3.9,0.3,0.0,0.0,14.1,75.4,3.7,3.5,1.1,0.9,1.4
2022,Josh Bell,- - -,2010-present,647,15,3.2,1.7,4.5,0.9,0.0,4.3,24.7,45.0,19.3,6.3,0.2,0.2,0.0
2023,Josh Bell,- - -,2010-present,617,10,1.3,2.2,3.5,0.0,0.0,15.9,17.2,24.3,34.5,7.9,0.0,0.0,0.2
2024,Josh Bell,MIA,2010-present,215,2,1.6,1.6,2.5,0.3,0.0,28.8,36.3,34.9,0.0,0.0,0.0,0.0,0.0
1999,Adrián Beltré,LAD,1970-2009,614,19,1.3,1.5,2.6,3.7,0.7,5.9,0.0,0.0,0.7,8.6,49.7,33.6,1.0
2000,Adrián Beltré,LAD,1970-2009,575,18,3.0,2.6,2.3,2.6,0.0,0.7,0.0,0.5,4.9,56.2,37.0,0.5,0.2
2001,Adrián Beltré,LAD,1970-2009,515,11,1.4,1.6,0.5,3.9,16.7,0.8,1.0,0.0,7.6,36.9,37.1,0.0,0.0
2002,Adrián Beltré,LAD,1970-2009,635,19,1.3,2.3,0.7,2.9,0.0,8.2,11.3,5.8,6.9,29.6,36.5,1.3,0.3
2003,Adrián Beltré,LAD,1970-2009,608,19,0.3,2.8,0.9,0.4,1.3,3.9,0.0,7.2,27.5,34.5,23.8,1.6,0.0
2004,Adrián Beltré,LAD,1970-2009,657,39,4.8,4.8,1.9,1.2,0.0,0.0,2.3,60.4,15.2,10.8,11.0,0.0,0.3
2005,Adrián Beltré,SEA,1970-2009,650,16,0.7,1.9,0.9,1.0,0.0,0.0,47.4,1.8,50.8,0.0,0.0,0.0,0.0
2006,Adrián Beltré,SEA,1970-2009,681,23,1.0,3.2,1.3,3.5,0.0,42.1,26.1,0.0,7.8,18.4,4.3,1.3,0.0
2007,Adrián Beltré,SEA,1970-2009,639,21,2.1,3.9,0.7,3.6,0.0,32.2,0.0,9.2,29.3,15.5,13.8,0.0,0.0
2008,Adrián Beltré,SEA,1970-2009,612,20,1.3,2.9,2.2,2.1,0.0,3.6,13.2,60.9,21.6,0.7,0.0,0.0,0.0
2010,Adrián Beltré,BOS,2010-present,641,29,4.8,4.5,1.2,1.4,0.0,0.0,0.2,9.0,43.4,28.2,19.2,0.0,0.0
2011,Adrián Beltré,TEX,2010-present,525,22,3.9,4.8,0.5,0.9,0.0,0.0,0.0,55.2,42.5,2.1,0.0,0.0,0.2
2012,Adrián Beltré,TEX,2010-present,654,30,4.9,4.5,0.8,1.2,0.0,0.0,2.6,96.8,0.0,0.0,0.0,0.0,0.6
2013,Adrián Beltré,TEX,2010-present,690,24,4.6,3.5,1.6,0.5,0.0,0.0,5.4,94.6,0.0,0.0,0.0,0.0,0.0
2014,Adrián Beltré,TEX,2010-present,614,26,4.9,3.3,3.5,0.5,0.0,0.0,13.0,87.0,0.0,0.0,0.0,0.0,0.0
2015,Adrián Beltré,TEX,2010-present,619,23,3.8,2.5,2.1,2.0,0.0,0.0,21.2,78.2,0.6,0.0,0.0,0.0,0.0
2016,Adrián Beltré,TEX,2010-present,640,30,4.2,3.7,2.0,0.4,0.0,0.0,21.3,78.8,0.0,0.0,0.0,0.0,0.0
2017,Andrew Benintendi,BOS,2010-present,658,16,2.6,1.3,3.6,3.1,0.0,43.3,29.6,12.2,8.2,5.9,0.8,0.0,0.0
2018,Andrew Benintendi,BOS,2010-present,661,24,4.1,2.3,4.0,4.6,14.7,83.4,1.4,0.0,0.0,0.0,0.0,0.3,0.3
2019,Andrew Benintendi,BOS,2010-present,615,11,2.2,1.2,3.2,3.7,38.2,19.5,0.0,2.3,29.4,9.8,0.7,0.0,0.2
2021,Andrew Benintendi,KCR,2010-present,538,14,3.5,1.6,1.2,2.0,0.0,20.4,16.0,37.7,15.8,3.2,5.6,0.7,0.6
2022,Andrew Benintendi,- - -,2010-present,521,15,4.7,0.2,3.8,2.8,7.5,57.8,20.0,0.8,4.4,8.6,0.2,0.6,0.2
2023,Andrew Benintendi,CHW,2010-present,621,9,2.6,0.1,2.3,3.0,33.0,53.0,5.2,0.0,2.7,4.8,0.8,0.3,0.2
2024,Andrew Benintendi,CHW,2010-present,174,0,0.1,0.3,0.1,0.8,19.0,5.2,0.0,0.0,60.9,13.8,0.6,0.0,0.6
2015,Mookie Betts,BOS,2010-present,654,24,4.1,3.3,2.4,4.7,84.6,10.1,0.0,0.0,0.0,0.6,2.9,1.8,0.0
2016,Mookie Betts,BOS,2010-present,730,32,4.8,3.4,1.4,4.7,70.7,0.0,7.4,21.8,0.0,0.0,0.0,0.0,0.1
2017,Mookie Betts,BOS,2010-present,712,26,2.2,2.7,3.7,4.1,54.8,9.4,24.2,11.7,0.0,0.0,0.0,0.0,0.0
2018,Mookie Betts,BOS,2010-present,614,41,5.0,4.9,4.5,4.7,99.0,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.5
2019,Mookie Betts,BOS,2010-present,706,26,4.2,3.0,4.6,4.6,68.7,31.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0
2020,Mookie Betts,LAD,2010-present,246,13,4.0,4.2,3.0,4.6,79.7,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Mookie Betts,LAD,2010-present,550,19,2.3,3.4,4.2,4.2,89.5,0.2,9.3,0.0,0.0,0.0,0.2,0.0,0.9
2022,Mookie Betts,LAD,2010-present,639,27,3.3,4.8,2.4,4.4,99.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2
2023,Mookie Betts,LAD,2010-present,693,34,4.7,4.7,4.5,2.5,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
2024,Mookie Betts,LAD,2010-present,235,12,4.8,4.1,4.8,4.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Bo Bichette,TOR,2010-present,690,23,4.5,2.1,0.6,4.5,6.5,58.1,4.9,30.4,0.0,0.0,0.0,0.0,0.0
2022,Bo Bichette,TOR,2010-present,697,21,4.2,3.1,0.9,2.5,0.0,57.8,13.3,13.5,11.6,3.2,0.6,0.0,0.0
2023,Bo Bichette,TOR,2010-present,601,20,4.8,2.0,0.2,1.8,6.8,85.4,5.2,2.3,0.0,0.0,0.0,0.3,0.0
2024,Bo Bichette,TOR,2010-present,187,3,1.8,0.9,0.9,3.2,4.8,2.1,62.6,21.9,1.6,7.0,0.0,0.0,0.0
1989,Craig Biggio,HOU,1970-2009,509,16,2.3,3.0,2.9,3.6,16.5,22.4,2.9,0.0,0.6,4.1,7.5,44.4,1.6
1990,Craig Biggio,HOU,1970-2009,621,19,2.3,0.4,2.3,2.6,3.4,20.8,37.7,0.0,20.6,11.6,5.6,0.3,0.0
1991,Craig Biggio,HOU,1970-2009,609,19,3.9,0.4,2.5,3.7,11.3,47.1,39.6,0.3,0.0,0.2,0.2,1.1,0.2
1992,Craig Biggio,HOU,1970-2009,721,23,2.9,0.9,4.3,3.6,98.3,0.6,0.0,0.0,0.1,0.0,0.0,0.0,1.0
1993,Craig Biggio,HOU,1970-2009,707,21,3.0,3.8,3.7,2.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Craig Biggio,HOU,1970-2009,511,20,4.2,2.6,4.1,4.9,35.0,15.1,49.7,0.0,0.0,0.0,0.0,0.0,0.2
1995,Craig Biggio,HOU,1970-2009,673,27,3.7,3.1,4.0,4.1,16.5,68.4,14.4,0.0,0.0,0.6,0.0,0.0,0.1
1996,Craig Biggio,HOU,1970-2009,723,27,3.0,1.6,3.1,3.9,2.6,94.2,3.0,0.0,0.1,0.0,0.0,0.0,0.0
1997,Craig Biggio,HOU,1970-2009,744,34,4.3,3.1,3.5,4.9,99.1,0.0,0.0,0.3,0.1,0.0,0.0,0.5,0.0
1998,Craig Biggio,HOU,1970-2009,738,29,4.8,2.6,2.3,4.5,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3
1999,Craig Biggio,HOU,1970-2009,749,24,2.9,1.7,3.4,2.6,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2001,Craig Biggio,HOU,1970-2009,717,20,3.3,1.9,2.8,3.0,71.1,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2002,Craig Biggio,HOU,1970-2009,655,12,0.9,1.7,1.4,4.3,23.1,75.4,0.9,0.0,0.3,0.0,0.0,0.2,0.2
2003,Craig Biggio,HOU,1970-2009,717,15,1.3,1.7,1.9,3.0,99.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3
2004,Craig Biggio,HOU,1970-2009,700,13,2.6,2.6,0.6,2.2,99.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9
2005,Craig Biggio,HOU,1970-2009,651,16,1.4,3.4,0.5,3.4,13.1,68.0,17.7,0.0,0.0,0.0,0.0,0.2,1.1
2006,Craig Biggio,HOU,1970-2009,607,10,0.2,2.5,1.0,1.3,62.6,27.0,1.5,0.0,0.0,6.9,0.3,0.2,1.5
2007,Craig Biggio,HOU,1970-2009,555,3,0.5,0.9,0.2,2.7,78.9,15.0,0.0,0.0,0.0,2.5,0.2,0.0,3.4
2014,Charlie Blackmon,COL,2010-present,648,13,3.9,2.6,0.6,4.0,97.2,0.0,0.2,0.0,0.2,0.2,0.2,0.3,1.9
2015,Charlie Blackmon,COL,2010-present,682,16,3.4,2.9,1.9,5.0,96.9,0.1,1.0,0.0,0.1,0.0,0.3,0.6,0.9
2016,Charlie Blackmon,COL,2010-present,641,21,4.9,3.9,1.0,4.2,98.9,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.6
2017,Charlie Blackmon,COL,2010-present,725,26,4.9,4.6,2.4,4.8,98.8,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.1
2018,Charlie Blackmon,COL,2010-present,696,16,3.9,3.6,2.1,4.1,62.6,32.2,4.6,0.0,0.0,0.0,0.0,0.1,0.4
2019,Charlie Blackmon,COL,2010-present,634,15,4.6,4.2,1.0,3.2,79.8,10.4,2.7,6.6,0.0,0.0,0.2,0.0,0.3
2020,Charlie Blackmon,COL,2010-present,247,5,4.3,1.1,1.5,2.4,0.0,0.0,67.2,32.8,0.0,0.0,0.0,0.0,0.0
2021,Charlie Blackmon,COL,2010-present,582,10,2.9,1.0,2.4,2.8,2.9,0.5,47.8,37.5,7.4,1.9,0.2,0.2,1.7
2022,Charlie Blackmon,COL,2010-present,577,8,2.9,1.7,0.6,3.2,24.3,34.0,29.1,10.4,0.7,0.3,0.0,0.5,0.7
2024,Charlie Blackmon,COL,2010-present,162,1,1.5,1.0,2.3,4.7,84.6,0.0,0.0,0.0,8.0,4.3,0.0,1.2,1.9
1987,Bobby Bonilla,PIT,1970-2009,515,15,4.0,2.7,1.6,0.9,3.5,11.5,6.0,32.6,13.4,23.5,1.6,2.9,5.0
1988,Bobby Bonilla,PIT,1970-2009,681,25,3.1,4.5,4.4,1.7,0.0,0.0,0.0,99.7,0.0,0.1,0.0,0.0,0.1
1989,Bobby Bonilla,PIT,1970-2009,698,22,3.6,4.4,3.4,3.1,0.0,0.1,0.0,99.4,0.0,0.4,0.0,0.0,0.0
1990,Bobby Bonilla,PIT,1970-2009,686,22,2.7,4.6,1.1,3.0,0.0,0.1,0.0,99.9,0.0,0.0,0.0,0.0,0.0
1991,Bobby Bonilla,PIT,1970-2009,680,23,4.3,3.8,4.3,1.9,0.0,0.1,0.0,99.7,0.0,0.0,0.0,0.0,0.1
1992,Bobby Bonilla,NYM,1970-2009,506,12,1.0,4.0,4.3,0.7,0.0,0.0,28.9,16.6,54.0,0.0,0.0,0.2,0.4
1993,Bobby Bonilla,NYM,1970-2009,582,16,1.2,4.6,4.2,1.5,0.3,0.0,3.3,95.7,0.5,0.2,0.0,0.0,0.0
1994,Bobby Bonilla,NYM,1970-2009,460,17,3.1,3.9,4.0,0.3,0.0,0.0,14.3,85.7,0.0,0.0,0.0,0.0,0.0
1995,Bobby Bonilla,- - -,1970-2009,614,17,4.7,4.4,2.2,2.1,0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.2
1996,Bobby Bonilla,BAL,1970-2009,693,12,2.3,3.0,2.9,1.8,0.1,0.0,1.0,37.2,60.9,0.7,0.0,0.0,0.0
1997,Bobby Bonilla,FLA,1970-2009,648,17,3.7,2.6,3.5,1.5,0.0,0.6,2.6,56.9,1.2,38.4,0.0,0.0,0.2
1973,Bob Boone,PHI,1970-2009,575,15,1.5,1.4,1.4,0.7,0.0,6.4,0.0,0.0,5.0,26.4,61.6,0.0,0.5
1974,Bob Boone,PHI,1970-2009,541,8,0.5,0.9,1.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,40.7,59.3,0.0
