season,name,team,era,pa,win_shares,average,power,walks,speed,pct_appearances_1,pct_appearances_2,pct_appearances_3,pct_appearances_4,pct_appearances_5,pct_appearances_6,pct_appearances_7,pct_appearances_8,pct_appearances_9
1998,Bobby Abreu,PHI,1970-2009,589,28,4.2,2.8,4.7,3.5,0.0,0.5,0.2,0.0,24.1,52.8,21.9,0.0,0.5
1999,Bobby Abreu,PHI,1970-2009,662,27,4.8,3.2,4.7,4.6,0.0,0.0,68.1,0.6,2.0,28.4,0.8,0.0,0.2
2000,Bobby Abreu,PHI,1970-2009,680,27,4.2,3.8,4.2,4.6,13.2,5.3,81.2,0.0,0.0,0.0,0.0,0.0,0.3
2001,Bobby Abreu,PHI,1970-2009,704,27,3.1,4.0,4.6,4.2,0.0,0.3,69.9,29.3,0.0,0.4,0.0,0.0,0.1
2002,Bobby Abreu,PHI,1970-2009,685,25,4.4,3.7,4.5,4.2,0.0,0.0,90.1,9.5,0.0,0.0,0.0,0.0,0.4
2003,Bobby Abreu,PHI,1970-2009,695,25,3.8,2.4,4.6,2.7,3.3,0.0,55.7,29.6,11.1,0.0,0.0,0.0,0.3
2004,Bobby Abreu,PHI,1970-2009,713,28,4.0,4.1,4.9,4.0,0.0,0.1,93.1,1.7,4.9,0.0,0.0,0.1,0.0
2005,Bobby Abreu,PHI,1970-2009,719,20,2.9,2.8,4.8,3.4,0.0,0.0,66.3,33.5,0.0,0.0,0.0,0.0,0.1
2006,Bobby Abreu,- - -,1970-2009,686,20,3.8,2.2,4.8,3.8,0.0,0.0,90.8,7.4,0.6,0.6,0.4,0.0,0.1
2007,Bobby Abreu,NYY,1970-2009,699,17,2.5,2.3,4.0,4.5,3.6,3.0,78.1,0.0,0.0,5.6,8.3,0.9,0.6
2008,Bobby Abreu,NYY,1970-2009,684,16,3.7,2.5,3.4,3.6,0.0,8.0,91.2,0.0,0.0,0.3,0.1,0.3,0.0
2009,Bobby Abreu,LAA,1970-2009,667,18,3.2,1.5,4.5,4.0,0.0,32.8,64.5,2.4,0.0,0.0,0.0,0.0,0.3
2010,Bobby Abreu,LAA,2010-present,667,16,1.2,3.0,4.6,3.2,13.0,28.5,57.4,0.6,0.0,0.0,0.1,0.3,0.0
2011,Bobby Abreu,LAA,2010-present,585,10,1.4,0.7,4.7,2.7,0.0,20.3,70.6,7.7,0.0,0.3,0.0,0.0,1.0
2014,José Abreu,CHW,2010-present,622,25,4.9,4.9,2.9,1.5,0.0,0.0,78.1,21.7,0.0,0.0,0.2,0.0,0.0
2015,José Abreu,CHW,2010-present,668,20,4.0,3.8,1.4,1.0,0.0,22.2,69.3,8.5,0.0,0.0,0.0,0.0,0.0
2016,José Abreu,CHW,2010-present,695,16,3.9,2.2,1.5,0.1,0.0,4.3,55.7,36.4,3.6,0.0,0.0,0.0,0.0
2017,José Abreu,CHW,2010-present,675,22,4.5,4.2,0.5,2.9,0.0,1.3,85.0,13.6,0.0,0.0,0.0,0.0,0.0
2018,José Abreu,CHW,2010-present,553,12,2.7,3.4,1.4,1.5,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.2
2019,José Abreu,CHW,2010-present,693,16,3.5,2.8,0.5,0.4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,José Abreu,CHW,2010-present,262,11,4.7,4.8,1.1,0.4,0.0,0.0,62.6,37.4,0.0,0.0,0.0,0.0,0.0
2021,José Abreu,CHW,2010-present,659,17,2.3,3.3,2.9,1.2,0.0,0.0,65.1,34.9,0.0,0.0,0.0,0.0,0.0
2022,José Abreu,CHW,2010-present,679,22,4.7,1.4,2.9,0.2,0.0,0.0,35.9,64.1,0.0,0.0,0.0,0.0,0.0
2023,José Abreu,HOU,2010-present,594,7,0.8,0.9,1.7,0.5,0.0,0.0,0.0,39.1,36.7,22.9,1.3,0.0,0.0
2019,Ronald Acuña Jr.,ATL,2010-present,715,27,2.8,3.4,3.5,4.5,77.9,0.0,0.0,21.8,0.0,0.0,0.0,0.0,0.3
