name,oldSlot,newSlot,average,power,walks,speed
Omar Vizquel,2,1,2.7,0.3,3.7,3.1
Roberto Alomar,3,2,3.9,2.2,2.2,4.4
Jim Thome,5,4,1.3,4.3,4.9,0.5
Travis Fryman,7,3,4.2,3,3.3,1.4
Kenny Lofton,1,5,2,1.4,3.7,4.6
Manny Ramirez,4,6,4.9,5,4.8,0.8
Richie Sexson,6,7,1.6,3.6,2.4,1.5
Wil Cordero,8,8,2.1,2.6,0.5,1.8
Ricky Ledee,9,9,0.2,1.6,3.4,3.7
