decade,lineup_slot,average,power,walks,speed
1970,1,2.964743887,1.724383677,2.378685097,3.874181755
1980,1,3.394666065,1.61966518,2.700822754,3.974103213
1990,1,3.289557356,1.79839305,2.984494998,4.122088965
2000,1,3.267688342,1.690732644,2.582573847,4.045293111
2010,1,3.24933318,1.869549128,2.659215591,3.841038594
2020,1,3.042686217,2.044447879,2.755472638,3.311634164
1970,2,2.9224152,2.034211791,2.2775342,3.290318242
1980,2,3.148031131,2.087431405,2.733771124,3.185372277
1990,2,3.140304251,2.023424579,2.645837748,3.259029295
2000,2,2.930210026,1.816892434,2.367890277,3.280247975
2010,2,3.213030102,2.415528092,2.724593202,3.122573788
2020,2,3.194225199,2.855031834,2.508590844,2.651444036
1970,3,3.703472759,3.399343582,2.91833797,2.80147943
1980,3,3.734736157,3.42666911,2.862945285,2.442359816
1990,3,3.87067697,3.577428475,3.058589576,2.497535583
2000,3,3.400731762,3.511833301,3.196569429,2.412753076
2010,3,3.53094005,3.329700493,3.063364187,2.199906039
2020,3,2.97591116,3.347572322,2.825656626,2.204826533
1970,4,3.15415509,3.779444442,3.058302801,1.964296113
1980,4,2.878170499,3.980162777,3.044739825,1.910242822
1990,4,3.043809146,4.130377945,3.219936057,1.65119127
2000,4,3.349823312,3.933607935,3.31484074,1.590198934
2010,4,3.091308917,3.693383847,2.980957001,1.626603695
2020,4,2.559559045,3.181695702,2.616749222,1.850998569
1970,5,2.881372983,3.452796621,2.851808906,2.096174726
1980,5,2.677796401,3.433047529,2.8717262,2.03166276
1990,5,2.840874184,3.5219032,3.045704863,1.568568387
2000,5,2.709861314,3.397504241,2.855257935,1.855794787
2010,5,2.672625952,3.169289281,2.617244583,1.88411087
2020,5,2.363124457,2.665477854,2.542978317,2.143258894
1970,6,2.5869778,3.118610401,2.691725304,2.151603831
1980,6,2.447893566,3.213071147,2.739911653,2.050262732
1990,6,2.592948296,3.136590065,2.649137814,1.859278414
2000,6,2.399067736,3.038913823,2.588093346,2.023125892
2010,6,2.466773348,2.778041167,2.420456429,2.133667298
2020,6,2.215417058,2.23330443,2.309620625,2.368729924
1970,7,2.190596839,2.55946122,2.429629657,2.224504469
1980,7,2.086089614,2.680146659,2.485078068,2.180937823
1990,7,2.278978167,2.673533584,2.343958006,2.167247181
2000,7,2.199223968,2.53954426,2.270511734,2.163233321
2010,7,2.219780118,2.492997539,2.293383603,2.362699863
2020,7,2.098069982,2.043408734,2.176610804,2.60251915
1970,8,1.634933389,1.833913758,2.237725894,2.317765164
1980,8,1.776902115,1.954520487,2.115159829,2.241587087
1990,8,1.758925019,1.961024473,2.032098812,2.239975771
2000,8,1.870122117,2.10818471,1.959984659,2.192784099
2010,8,1.859069881,2.070136478,2.165945537,2.438044777
2020,8,1.950991944,1.583706915,2.092239239,2.935949089
1970,9,1.439686923,1.363873952,2.023509242,2.414217167
1980,9,1.606656036,1.304169887,2.077786667,2.819697732
1990,9,1.611096896,1.228656767,1.640856429,2.943501186
2000,9,1.861933835,1.537767809,1.805030161,2.899784474
2010,9,1.760561795,1.555881633,1.909344546,2.954600011
2020,9,1.540270781,1.339235495,2.221031647,3.120005539
